uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
09988.HK,20200226,197.252,199.852,196.452,198.452,290149.94,,,,,57406745.92888,20200226,290149.94,,,,,,,,,,,,,,,,,,,,,,
09988.HK,20200227,198.452,201.052,196.852,200.652,233979.41,,,2.1999999999999886,1.1085804123919079,46691059.22432,20200227,233979.41,,,,,,,,,,,,,,,,,,,,,,
09988.HK,20200228,196.052,197.452,194.952,195.452,388169.51,,,-5.199999999999989,-2.5915515419731623,75984957.92152001,20200228,388169.51,,,,,,,,,,,,,,,,,,,,,,
09988.HK,20200302,196.652,200.452,196.052,200.052,170045.13,,,4.599999999999994,2.3535190225733147,33728791.62576,20200302,170045.13,,,,,,,,,,,,,,,,,,,,,,
09988.HK,20200303,201.652,202.052,197.852,198.652,191563.55,,,-1.4000000000000057,-0.6998180473077029,38341827.6596,20200303,191563.55,,,,198.652,,,,,,,,,,,,,254781.508,,0.7518738369348218,,,
09988.HK,20200304,198.452,198.652,196.052,197.652,145534.45,,,-1.0,-0.5033928679298472,28823388.891400002,20200304,145534.45,,,,198.49200000000002,,,,,,,,,,,,,225858.41,,0.6443614386553063,,,
09988.HK,20200305,200.652,203.652,199.452,202.652,193432.93,,,5.0,2.5296986622953472,39006137.20035999,20200305,193432.93,60.82474226804122,,,198.892,,,,,,,,,,,,,217749.11399999997,,0.8883293550393047,,,
09988.HK,20200306,200.452,200.652,198.252,199.252,127344.63,,,-3.3999999999999773,-1.6777529952825423,25450078.994760003,20200306,127344.63,50.25553662691656,,,199.652,,,,,,,,,,,,,165584.13799999998,,0.7690629763099652,,,
09988.HK,20200309,188.952,193.952,188.952,188.952,569369.06,,,-10.300000000000011,-5.169333306566564,107583422.62512001,20200309,569369.06,30.799749425767374,,,197.432,,,,,,,,,0.0,0.0,0.0,,245448.92399999997,,2.3197048523219443,,,
09988.HK,20200310,192.452,196.452,189.052,194.752,285693.75,,,5.800000000000011,3.0695626402472644,55310881.3875,20200310,285693.75,45.14879671621043,,,196.652,,,,,,,,,13.15192743764176,4.383975812547253,30.687830687830775,,264274.964,,1.0810473518785533,,,
09988.HK,20200311,195.452,195.852,192.152,192.452,178601.92,,,-2.3000000000000114,-1.1809891554387175,34640199.587840006,20200311,178601.92,41.09395055107292,,,195.61199999999994,,,,,,,,,16.704459561602448,8.490803728898983,33.13177122700938,,270888.458,,0.6593190471038822,,,
09988.HK,20200312,187.452,187.652,182.652,184.252,418421.08,,,-8.199999999999989,-4.260802693658673,77764394.56016001,20200312,418421.08,29.687147656937697,,,191.93199999999993,,,,,,,,,13.675988914084208,10.219198790627392,20.58956916099784,,315886.088,,1.324594833058935,,,
09988.HK,20200313,174.252,189.452,172.452,187.152,532923.64,,,2.8999999999999773,1.5739313548835165,96300367.59528,20200313,532923.64,37.09720208551778,39.196940726577424,,189.51199999999994,,,,,,,,,24.822454147851005,15.086950576368595,44.29346129081583,,397001.89,,1.342370536321628,,,
09988.HK,20200316,180.452,180.552,173.452,174.752,472074.3,,,-12.399999999999977,-6.625630503547907,83841339.8286,20200316,472074.3,24.07746186617382,31.142107443723233,,186.67199999999994,,,,,,,,,19.005567722498974,16.393156291745385,24.23039058400615,,377542.93799999997,,1.2503857243384593,-92.62820512820508,,
