2026-04-04 07:03:58 [source.easyquotation] INFO: Easyquotation 初始化成功
2026-04-04 07:04:04 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:04:09 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:04:09 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:04:10 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:04:10 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:04:17 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:04:27 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:04:35 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:04:36 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:04:37 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:06:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:06:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:06:35 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:06:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:06:36 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:06:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:06:50 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:06:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:06:57 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:06:58 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:08:26 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:08:29 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:08:29 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:08:30 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:08:30 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:08:35 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:08:45 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:08:51 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:08:52 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:08:54 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:10:01 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:10:04 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:10:04 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
